Accuracy,FileName,Model,class,f1_score,precision,recall,support,time,Normalize,Sampling
0.9943333333333333,Normalized_random_RandomForest.sav,RandomForest,0,1.0,0.99,1.0,2286.0,6.45,1,random
0.9943333333333333,Normalized_random_RandomForest.sav,RandomForest,1,0.99,1.0,0.98,714.0,6.45,1,random
0.7866666666666666,Normalized_random_LogisticRegression.sav,LogisticRegression,0,0.87,0.81,0.93,2286.0,0.02,1,random
0.7866666666666666,Normalized_random_LogisticRegression.sav,LogisticRegression,1,0.42,0.6,0.32,714.0,0.02,1,random
0.9816666666666667,Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.99,0.98,0.99,2286.0,0.02,1,random
0.9816666666666667,Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.96,0.98,0.94,714.0,0.02,1,random
0.7893333333333333,Normalized_random_GaussianNB.sav,GaussianNB,0,0.85,0.91,0.8,2286.0,0.01,1,random
0.7893333333333333,Normalized_random_GaussianNB.sav,GaussianNB,1,0.63,0.54,0.75,714.0,0.01,1,random
0.9803333333333333,Normalized_random_MLPClassifier.sav,MLPClassifier,0,0.99,0.99,0.98,2286.0,16.26,1,random
0.9803333333333333,Normalized_random_MLPClassifier.sav,MLPClassifier,1,0.96,0.95,0.97,714.0,16.26,1,random
0.9936666666666667,Normalized_up_RandomForest.sav,RandomForest,0,1.0,0.99,1.0,2286.0,8.59,1,up
0.9936666666666667,Normalized_up_RandomForest.sav,RandomForest,1,0.99,0.99,0.98,714.0,8.59,1,up
0.7666666666666667,Normalized_up_LogisticRegression.sav,LogisticRegression,0,0.83,0.92,0.76,2286.0,0.02,1,up
0.7666666666666667,Normalized_up_LogisticRegression.sav,LogisticRegression,1,0.62,0.51,0.8,714.0,0.02,1,up
0.9773333333333334,Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.99,0.98,0.99,2286.0,0.03,1,up
0.9773333333333334,Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.95,0.96,0.95,714.0,0.03,1,up
0.6166666666666667,Normalized_up_GaussianNB.sav,GaussianNB,0,0.68,0.94,0.53,2286.0,0.02,1,up
0.6166666666666667,Normalized_up_GaussianNB.sav,GaussianNB,1,0.53,0.37,0.9,714.0,0.02,1,up
0.9756666666666667,Normalized_up_MLPClassifier.sav,MLPClassifier,0,0.98,0.99,0.97,2286.0,15.28,1,up
0.9756666666666667,Normalized_up_MLPClassifier.sav,MLPClassifier,1,0.95,0.92,0.98,714.0,15.28,1,up
0.9936666666666667,Normalized_down_RandomForest.sav,RandomForest,0,1.0,0.99,1.0,2286.0,8.52,1,down
0.9936666666666667,Normalized_down_RandomForest.sav,RandomForest,1,0.99,0.99,0.98,714.0,8.52,1,down
0.7666666666666667,Normalized_down_LogisticRegression.sav,LogisticRegression,0,0.83,0.92,0.76,2286.0,0.02,1,down
0.7666666666666667,Normalized_down_LogisticRegression.sav,LogisticRegression,1,0.62,0.51,0.8,714.0,0.02,1,down
0.9773333333333334,Normalized_down_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.99,0.98,0.99,2286.0,0.03,1,down
0.9773333333333334,Normalized_down_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.95,0.96,0.95,714.0,0.03,1,down
0.6166666666666667,Normalized_down_GaussianNB.sav,GaussianNB,0,0.68,0.94,0.53,2286.0,0.0,1,down
0.6166666666666667,Normalized_down_GaussianNB.sav,GaussianNB,1,0.53,0.37,0.9,714.0,0.0,1,down
0.9716666666666667,Normalized_down_MLPClassifier.sav,MLPClassifier,0,0.98,0.99,0.97,2286.0,13.35,1,down
0.9716666666666667,Normalized_down_MLPClassifier.sav,MLPClassifier,1,0.94,0.91,0.98,714.0,13.35,1,down
0.993,Normalized_SMOTE_RandomForest.sav,RandomForest,0,1.0,0.99,1.0,2286.0,10.94,1,SMOTE
0.993,Normalized_SMOTE_RandomForest.sav,RandomForest,1,0.99,0.99,0.98,714.0,10.94,1,SMOTE
0.7613333333333333,Normalized_SMOTE_LogisticRegression.sav,LogisticRegression,0,0.83,0.92,0.75,2286.0,0.03,1,SMOTE
0.7613333333333333,Normalized_SMOTE_LogisticRegression.sav,LogisticRegression,1,0.61,0.5,0.79,714.0,0.03,1,SMOTE
0.976,Normalized_SMOTE_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.99,2286.0,0.03,1,SMOTE
0.976,Normalized_SMOTE_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.95,0.95,0.94,714.0,0.03,1,SMOTE
0.503,Normalized_SMOTE_GaussianNB.sav,GaussianNB,0,0.53,0.95,0.37,2286.0,0.0,1,SMOTE
0.503,Normalized_SMOTE_GaussianNB.sav,GaussianNB,1,0.47,0.32,0.94,714.0,0.0,1,SMOTE
0.962,Normalized_SMOTE_MLPClassifier.sav,MLPClassifier,0,0.97,0.99,0.96,2286.0,18.97,1,SMOTE
0.962,Normalized_SMOTE_MLPClassifier.sav,MLPClassifier,1,0.92,0.88,0.98,714.0,18.97,1,SMOTE
0.994,Not-Normalized_random_RandomForest.sav,RandomForest,0,1.0,0.99,1.0,2286.0,6.38,0,random
0.994,Not-Normalized_random_RandomForest.sav,RandomForest,1,0.99,0.99,0.98,714.0,6.38,0,random
0.7843333333333333,Not-Normalized_random_LogisticRegression.sav,LogisticRegression,0,0.87,0.81,0.93,2286.0,0.2,0,random
0.7843333333333333,Not-Normalized_random_LogisticRegression.sav,LogisticRegression,1,0.41,0.59,0.31,714.0,0.2,0,random
0.9816666666666667,Not-Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.99,0.98,0.99,2286.0,0.02,0,random
0.9816666666666667,Not-Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.96,0.98,0.94,714.0,0.02,0,random
0.7893333333333333,Not-Normalized_random_GaussianNB.sav,GaussianNB,0,0.85,0.91,0.8,2286.0,0.01,0,random
0.7893333333333333,Not-Normalized_random_GaussianNB.sav,GaussianNB,1,0.63,0.54,0.75,714.0,0.01,0,random
0.932,Not-Normalized_random_MLPClassifier.sav,MLPClassifier,0,0.95,0.97,0.94,2286.0,8.67,0,random
0.932,Not-Normalized_random_MLPClassifier.sav,MLPClassifier,1,0.86,0.83,0.9,714.0,8.67,0,random
0.9933333333333333,Not-Normalized_up_RandomForest.sav,RandomForest,0,1.0,0.99,1.0,2286.0,8.56,0,up
0.9933333333333333,Not-Normalized_up_RandomForest.sav,RandomForest,1,0.99,0.99,0.98,714.0,8.56,0,up
0.766,Not-Normalized_up_LogisticRegression.sav,LogisticRegression,0,0.83,0.92,0.76,2286.0,0.31,0,up
0.766,Not-Normalized_up_LogisticRegression.sav,LogisticRegression,1,0.62,0.51,0.8,714.0,0.31,0,up
0.977,Not-Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.99,2286.0,0.02,0,up
0.977,Not-Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.95,0.96,0.95,714.0,0.02,0,up
0.6166666666666667,Not-Normalized_up_GaussianNB.sav,GaussianNB,0,0.68,0.94,0.53,2286.0,0.02,0,up
0.6166666666666667,Not-Normalized_up_GaussianNB.sav,GaussianNB,1,0.53,0.37,0.9,714.0,0.02,0,up
0.957,Not-Normalized_up_MLPClassifier.sav,MLPClassifier,0,0.97,0.98,0.97,2286.0,20.41,0,up
0.957,Not-Normalized_up_MLPClassifier.sav,MLPClassifier,1,0.91,0.9,0.92,714.0,20.41,0,up
0.9936666666666667,Not-Normalized_down_RandomForest.sav,RandomForest,0,1.0,0.99,1.0,2286.0,8.59,0,down
0.9936666666666667,Not-Normalized_down_RandomForest.sav,RandomForest,1,0.99,0.99,0.98,714.0,8.59,0,down
0.766,Not-Normalized_down_LogisticRegression.sav,LogisticRegression,0,0.83,0.92,0.76,2286.0,0.37,0,down
0.766,Not-Normalized_down_LogisticRegression.sav,LogisticRegression,1,0.62,0.51,0.8,714.0,0.37,0,down
0.9773333333333334,Not-Normalized_down_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.99,0.98,0.99,2286.0,0.03,0,down
0.9773333333333334,Not-Normalized_down_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.95,0.96,0.95,714.0,0.03,0,down
0.6166666666666667,Not-Normalized_down_GaussianNB.sav,GaussianNB,0,0.68,0.94,0.53,2286.0,0.02,0,down
