Accuracy,FileName,Model,class,f1_score,precision,recall,support,time,Normalize,Sampling
0.9766666666666667,Not-Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.99,2286.0,0.02,0,random
0.9766666666666667,Not-Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.95,0.97,0.93,714.0,0.02,0,random
0.7113333333333334,Not-Normalized_random_GaussianNB.sav,GaussianNB,0,0.78,0.91,0.69,2286.0,0.01,0,random
0.7113333333333334,Not-Normalized_random_GaussianNB.sav,GaussianNB,1,0.56,0.44,0.78,714.0,0.01,0,random
0.892,Not-Normalized_random_MLPClassifier.sav,MLPClassifier,0,0.93,0.97,0.88,2286.0,8.53,0,random
0.892,Not-Normalized_random_MLPClassifier.sav,MLPClassifier,1,0.8,0.71,0.92,714.0,8.53,0,random
0.9866666666666667,Not-Normalized_up_RandomForest.sav,RandomForest,0,0.99,0.99,1.0,2286.0,8.7,0,up
0.9866666666666667,Not-Normalized_up_RandomForest.sav,RandomForest,1,0.97,0.99,0.96,714.0,8.7,0,up
0.759,Not-Normalized_up_LogisticRegression.sav,LogisticRegression,0,0.82,0.93,0.74,2286.0,0.33,0,up
0.759,Not-Normalized_up_LogisticRegression.sav,LogisticRegression,1,0.62,0.5,0.82,714.0,0.33,0,up
0.97,Not-Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.98,2286.0,0.03,0,up
0.97,Not-Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.94,0.94,0.94,714.0,0.03,0,up
0.5593333333333333,Not-Normalized_up_GaussianNB.sav,GaussianNB,0,0.61,0.93,0.46,2286.0,0.02,0,up
0.5593333333333333,Not-Normalized_up_GaussianNB.sav,GaussianNB,1,0.49,0.34,0.89,714.0,0.02,0,up
0.9393333333333334,Not-Normalized_up_MLPClassifier.sav,MLPClassifier,0,0.96,0.98,0.94,2286.0,22.16,0,up
0.9393333333333334,Not-Normalized_up_MLPClassifier.sav,MLPClassifier,1,0.88,0.84,0.93,714.0,22.16,0,up
0.987,Not-Normalized_down_RandomForest.sav,RandomForest,0,0.99,0.99,1.0,2286.0,8.55,0,down
0.987,Not-Normalized_down_RandomForest.sav,RandomForest,1,0.97,0.99,0.96,714.0,8.55,0,down
0.759,Not-Normalized_down_LogisticRegression.sav,LogisticRegression,0,0.82,0.93,0.74,2286.0,0.32,0,down
0.759,Not-Normalized_down_LogisticRegression.sav,LogisticRegression,1,0.62,0.5,0.82,714.0,0.32,0,down
